,label
cell_0,Ast
cell_1,E2Rasgrf2
cell_2,E2Rasgrf2
cell_3,E5Galnt14
cell_4,E5Galnt14
cell_5,E4Il1rapl2
cell_6,E2Rasgrf2
cell_7,E5Parm1
cell_8,E4Thsd7a
cell_9,E2Rasgrf2
cell_10,E3Rorb
cell_11,E4Thsd7a
cell_12,E6Tle4
cell_13,E4Thsd7a
cell_14,E5Galnt14
cell_15,E3Rmst
cell_16,E5Galnt14
cell_17,E5Galnt14
cell_18,E2Rasgrf2
cell_19,E4Il1rapl2
cell_20,E4Il1rapl2
cell_21,Mic
cell_22,E2Rasgrf2
cell_23,E4Thsd7a
cell_24,E6Tle4
cell_25,E2Rasgrf2
cell_26,E2Rasgrf2
cell_27,E4Il1rapl2
cell_28,E6Tle4
cell_29,InS
cell_30,InS
cell_31,E3Rorb
cell_32,E2Rasgrf2
cell_33,E3Rmst
cell_34,E4Il1rapl2
cell_35,E3Rorb
cell_36,E4Thsd7a
cell_37,E5Galnt14
cell_38,E4Thsd7a
cell_39,E6Tle4
cell_40,E4Il1rapl2
cell_41,E2Rasgrf2
cell_42,E5Galnt14
cell_43,InS
cell_44,InS
cell_45,E4Thsd7a
cell_46,E3Rorb
cell_47,E4Il1rapl2
cell_48,E2Rasgrf2
cell_49,E2Rasgrf2
cell_50,E2Rasgrf2
cell_51,E6Tle4
cell_52,E3Rmst
cell_53,E2Rasgrf2
cell_54,E3Rorb
cell_55,Ast
cell_56,E2Rasgrf2
cell_57,E6Tle4
cell_58,E2Rasgrf2
cell_59,E2Rasgrf2
cell_60,E5Sulf1
cell_61,E3Rorb
cell_62,E3Rorb
cell_63,E2Rasgrf2
cell_64,E3Rorb
cell_65,E4Thsd7a
cell_66,E6Tle4
cell_67,Clau
cell_68,E3Rorb
cell_69,E5Galnt14
cell_70,E6Tle4
cell_71,E5Parm1
cell_72,E3Rorb
cell_73,E6Tle4
cell_74,E4Thsd7a
cell_75,E6Tle4
cell_76,E5Parm1
cell_77,E5Galnt14
cell_78,E6Tle4
cell_79,E5Tshz2
cell_80,E2Rasgrf2
cell_81,E6Tle4
cell_82,E2Rasgrf2
cell_83,E4Il1rapl2
cell_84,E6Tle4
cell_85,E3Rorb
cell_86,E2Rasgrf2
cell_87,E2Rasgrf2
cell_88,E3Rmst
cell_89,E5Tshz2
cell_90,E3Rmst
cell_91,E6Tle4
cell_92,E3Rorb
cell_93,Ast
cell_94,E6Tle4
cell_95,E3Rorb
cell_96,E5Parm1
cell_97,E5Sulf1
cell_98,E6Tle4
cell_99,Clau
cell_100,E4Il1rapl2
cell_101,E3Rmst
cell_102,E5Galnt14
cell_103,E6Tle4
cell_104,InS
cell_105,E6Tle4
cell_106,E2Rasgrf2
cell_107,E4Il1rapl2
cell_108,OliM
cell_109,E4Thsd7a
cell_110,E3Rorb
cell_111,E2Rasgrf2
cell_112,E4Thsd7a
cell_113,E6Tle4
cell_114,E2Rasgrf2
cell_115,E2Rasgrf2
cell_116,E5Galnt14
cell_117,E4Thsd7a
cell_118,E3Rorb
cell_119,E3Rorb
cell_120,InS
cell_121,E2Rasgrf2
cell_122,Ast
cell_123,Ast
cell_124,Ast
cell_125,InV
cell_126,E3Rorb
cell_127,E5Galnt14
cell_128,E6Tle4
cell_129,E5Parm1
cell_130,E6Tle4
cell_131,E3Rorb
cell_132,Ast
cell_133,InS
cell_134,E5Galnt14
cell_135,Ast
cell_136,E2Rasgrf2
cell_137,E3Rorb
cell_138,InN
cell_139,E5Sulf1
cell_140,OPC
cell_141,E6Tle4
cell_142,E3Rorb
cell_143,Ast
cell_144,OliM
cell_145,OPC
cell_146,OliM
cell_147,OliM
cell_148,Ast
cell_149,E4Thsd7a
cell_150,OliM
cell_151,OliM
cell_152,E5Galnt14
cell_153,Ast
cell_154,E6Tle4
cell_155,E4Thsd7a
cell_156,E4Il1rapl2
cell_157,E2Rasgrf2
cell_158,E5Parm1
cell_159,E5Galnt14
cell_160,E4Il1rapl2
cell_161,E2Rasgrf2
cell_162,E2Rasgrf2
cell_163,E3Rorb
cell_164,Ast
cell_165,E5Galnt14
cell_166,E2Rasgrf2
cell_167,E3Rmst
cell_168,E3Rmst
cell_169,E2Rasgrf2
cell_170,Ast
cell_171,E2Rasgrf2
cell_172,E5Parm1
cell_173,E3Rorb
cell_174,E6Tle4
cell_175,E4Il1rapl2
cell_176,E2Rasgrf2
cell_177,E2Rasgrf2
cell_178,E4Il1rapl2
cell_179,E2Rasgrf2
cell_180,E2Rasgrf2
cell_181,E2Rasgrf2
cell_182,E2Rasgrf2
cell_183,E2Rasgrf2
cell_184,E4Thsd7a
cell_185,InP
cell_186,E4Il1rapl2
cell_187,E2Rasgrf2
cell_188,E3Rorb
cell_189,E5Galnt14
cell_190,E6Tle4
cell_191,E4Thsd7a
cell_192,OliM
cell_193,E2Rasgrf2
cell_194,E6Tle4
cell_195,E2Rasgrf2
cell_196,E4Thsd7a
cell_197,E2Rasgrf2
cell_198,E3Rorb
cell_199,E2Rasgrf2
cell_200,E5Sulf1
cell_201,E6Tle4
cell_202,E2Rasgrf2
cell_203,E2Rasgrf2
cell_204,E2Rasgrf2
cell_205,E2Rasgrf2
cell_206,E3Rmst
cell_207,E4Il1rapl2
cell_208,InN
cell_209,E2Rasgrf2
cell_210,E3Rorb
cell_211,E2Rasgrf2
cell_212,E3Rorb
cell_213,E3Rorb
cell_214,OPC
cell_215,Clau
cell_216,E4Thsd7a
cell_217,E6Tle4
cell_218,E3Rorb
cell_219,E2Rasgrf2
cell_220,E2Rasgrf2
cell_221,E4Thsd7a
cell_222,E2Rasgrf2
cell_223,E3Rorb
cell_224,E5Galnt14
cell_225,E2Rasgrf2
cell_226,E2Rasgrf2
cell_227,E2Rasgrf2
cell_228,E6Tle4
cell_229,OliM
cell_230,OliM
cell_231,E3Rorb
cell_232,E6Tle4
cell_233,E2Rasgrf2
cell_234,E6Tle4
cell_235,E4Il1rapl2
cell_236,E3Rorb
cell_237,E3Rorb
cell_238,E6Tle4
cell_239,E5Parm1
cell_240,InP
cell_241,E2Rasgrf2
cell_242,E5Parm1
cell_243,InP
cell_244,E3Rorb
cell_245,InS
cell_246,E3Rorb
cell_247,E3Rorb
cell_248,Ast
cell_249,E2Rasgrf2
cell_250,E2Rasgrf2
cell_251,Ast
cell_252,Ast
cell_253,E6Tle4
cell_254,E4Il1rapl2
cell_255,E5Galnt14
cell_256,E2Rasgrf2
cell_257,E5Sulf1
cell_258,E6Tle4
cell_259,InP
cell_260,InN
cell_261,E3Rorb
cell_262,Clau
cell_263,OliM
cell_264,E4Thsd7a
cell_265,E5Sulf1
cell_266,Ast
cell_267,E3Rorb
cell_268,E4Thsd7a
cell_269,E3Rorb
cell_270,Ast
cell_271,E6Tle4
cell_272,Ast
cell_273,E6Tle4
cell_274,E6Tle4
cell_275,E2Rasgrf2
cell_276,E4Thsd7a
cell_277,E5Galnt14
cell_278,E3Rorb
cell_279,E2Rasgrf2
cell_280,E3Rorb
cell_281,Mic
cell_282,E5Galnt14
cell_283,E2Rasgrf2
cell_284,Peri
cell_285,E2Rasgrf2
cell_286,Ast
cell_287,Ast
cell_288,E3Rorb
cell_289,E4Il1rapl2
cell_290,E2Rasgrf2
cell_291,E6Tle4
cell_292,Ast
cell_293,E2Rasgrf2
cell_294,E3Rorb
cell_295,Ast
cell_296,E2Rasgrf2
cell_297,E6Tle4
cell_298,E6Tle4
cell_299,Clau
cell_300,E2Rasgrf2
cell_301,E2Rasgrf2
