,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
cell_0,2.5727162,-0.099193096,-0.70830536,-1.6218597,0.91396165,-1.4819467,1.3631439,0.36150166,1.4470251,-1.4669199,-0.33436581,1.6597393,-0.21518332,-0.5191341,-0.2763034,-1.7816193,-0.9376301,0.26603442,1.8407918,1.1435695,-1.0490419,0.734399,0.11872626,1.0544678,-1.2648493,0.67982036,-0.366309,1.5174887,0.0035697892,-1.5570837,1.3408341,-0.33898568,1.4549913,-0.62877595,-0.30005848,1.4284489,-0.630193,2.0502007,-1.6661187,-0.3112658,0.8127444,-0.5800171,-0.7751823,0.20072907,-0.24340928,0.678362,1.4519566,-2.4694145,-0.11320895,0.9002327,-0.9792712,-0.3829988,-0.55825996,2.0309772,0.15172198,0.46536836,0.7891085,-1.458464,-1.0526986,0.5412485,-1.5631398,0.5690638,-0.63480735,-1.752133
cell_1,0.81882036,1.6865138,-1.3881564,0.15256253,-0.3814559,1.1387095,1.418078,2.3922148,0.15924759,-1.318745,1.4363391,2.0621567,1.1159964,-0.30601284,1.6849068,0.83687705,0.4534732,0.783847,-0.6867867,-1.4188831,-0.2681373,0.31990343,0.5138934,-0.12502189,0.4985884,1.2602035,-0.9175339,-0.62812287,-0.683196,-0.37732184,1.1274002,-1.8296741,-1.5599368,-1.4575423,0.5233506,1.9357939,2.4189374,-0.8374076,0.57076204,2.4755404,-0.58163154,-1.2958267,-1.5190203,1.4031996,-0.091692835,-2.680585,2.0569668,-0.9782355,2.150384,-0.047704756,1.7714523,1.3804165,0.08849854,1.084632,0.5577377,-0.43959773,-1.4926567,-1.6907935,0.26377538,-0.9829695,0.7543354,-0.09362315,-1.6362222,0.97695994
cell_2,1.4550166,1.3779783,-1.1741517,0.66703653,-1.0135629,0.25295055,0.70274866,1.9230368,-0.48690477,-1.5538772,1.5072118,1.547312,0.34601787,-0.8366352,0.6599211,0.7343573,0.8012593,-0.63634545,-0.2467609,-1.2858673,0.6634657,1.3942684,-0.47723874,-0.52936983,0.7859076,1.1705074,-0.67315334,-0.3371555,-0.80962247,-1.8486176,1.2962587,-1.0289842,-1.1209369,-1.0876076,1.2097542,0.9824903,0.37567046,-0.7873653,0.7853937,0.97525305,-1.8446014,-1.6356106,-0.69934237,0.9060398,0.5243815,-1.728836,0.91110563,-1.7434452,0.3611339,-0.39860958,0.85310817,1.850364,0.5969331,1.8527602,0.595742,0.49996695,-0.44221193,-2.1319528,-0.85086304,0.07001432,1.0112076,1.2412374,-0.12546563,1.0391903
cell_3,0.3115952,0.10512374,-1.0467932,1.3809772,0.8689278,-1.1451721,0.67307556,1.5930631,0.99053514,-2.2459261,0.13256283,1.7728025,-1.3004856,0.79787076,0.8706001,-1.8245889,0.31437677,1.3998349,1.4223005,-1.1723862,0.83830655,-0.14444609,1.1109321,-0.16059586,1.1321536,-1.0036722,1.1634147,-0.7995837,0.54474545,-1.0902181,0.48043,1.1601532,0.7651574,-1.6569875,1.0318279,1.2169687,0.18685734,-0.19565807,-0.68678576,1.9383447,-2.418308,-2.0739994,0.58743197,2.1818054,-0.9143974,0.85594857,-0.85825884,0.6757601,1.4738111,-0.9824613,-0.76786304,0.6514326,0.453508,-0.3791203,-1.5591667,1.2577295,-0.89473855,-1.9450693,0.6609467,0.4713034,-2.0486927,-2.035054,1.2259222,1.3322338
cell_4,-0.14561546,-1.1382942,-1.3138628,1.1878728,1.790153,-1.711753,1.5987017,1.2416595,1.2369922,-2.4896092,-0.6641143,2.683625,-0.6642066,0.8719232,1.6778057,-1.5674479,0.9992447,1.0637056,1.2536467,-1.2935218,0.84502214,-1.6006758,1.214175,-0.34694085,1.050114,-0.59850955,1.4076741,-0.7774553,1.3495003,0.08095032,-0.27735996,1.0787324,0.7149903,-1.2115518,1.2583917,2.1569345,1.3013692,-0.79723275,-1.2587733,1.6467285,-1.9247272,-1.4141662,0.60053635,2.453522,-1.5929083,1.3302598,-1.2651552,0.96351063,1.175335,-1.4310348,-1.1707376,-0.08555102,-0.0017840713,-0.2905932,-1.3297067,0.38463616,-1.3729627,-2.6351564,1.3285308,1.5528388,-1.860774,-2.0379243,1.5409255,1.6509314
cell_5,0.07540646,-0.016932333,0.1701409,-1.8179774,0.95890546,-1.8305457,-0.33230233,0.8839581,2.432727,-0.6079109,1.1185474,0.4629667,-0.8575168,-0.71105963,1.1465127,-2.214731,-1.4025348,0.33887947,2.057835,1.6243385,-1.9280543,1.394608,1.6897998,2.1121426,-1.6035638,-0.8536032,-1.2369463,1.5803145,-0.44414672,-2.1243503,1.6514087,-1.221891,1.2617881,-0.34924632,1.9964314,-0.55968463,-0.80462945,-0.028622232,-2.1145968,-0.121781565,0.13077353,-0.32868525,-0.43578225,1.4582807,-0.07660052,-0.11174978,1.018395,0.4624483,1.8973345,-0.68857646,0.21664858,0.9036668,-0.6294948,0.83046305,-0.29032603,-0.16529211,-0.23523414,-0.8885156,0.15186176,1.8586099,-0.26113322,1.330209,-0.49597287,-0.39143193
cell_6,1.1837436,0.95238143,-1.5490363,0.4501807,-0.19628543,0.64298344,1.6414073,1.940513,-0.47511256,-1.9908957,1.6269348,1.7047065,0.78208435,-0.21966216,0.93582916,0.35981408,0.38146526,-0.12507732,-1.0286152,-1.3723079,0.26446277,0.8077357,0.06870207,0.01865527,1.4240321,1.0867484,-0.6056305,-0.6809456,-0.9861696,-1.0367466,1.3510083,-1.2860883,-0.7203557,-1.5365,1.3972576,1.265692,1.6476945,-1.1627624,0.99527836,0.9175492,-1.1536112,-1.3630205,-1.0800021,1.0135883,0.65296024,-1.6198083,1.0237795,-1.0543498,0.88945484,-0.6755961,1.4874606,1.9152251,0.6796043,2.135315,0.26992545,-0.06748611,-0.7196538,-1.7602847,-0.3994706,-0.11596245,0.7125274,0.21957813,-0.8651892,1.0846976
cell_7,1.2422715,0.6432222,-1.242133,-1.1543839,-0.92688125,-0.6895567,1.4701705,-1.0733304,1.1520991,-1.7110895,-0.1814487,1.6170151,-1.5183865,0.63357645,-0.7574969,-1.4832304,-2.3869736,1.4769957,1.6894372,-0.823945,-0.6464926,1.250551,-1.7465824,0.404733,-0.5507703,0.7647939,1.2855442,-1.6093382,-2.4926665,0.5533365,1.4662279,0.8778292,1.1771551,0.2362963,-0.88884056,0.9830886,1.523491,1.0653546,0.5615604,1.577229,-2.3647356,-0.9866703,-1.8742578,2.3778474,-0.13502948,-1.4353809,1.8371325,-0.897258,-1.0697355,1.2867148,-1.5637271,0.00095421076,1.1351691,1.6561497,-1.4852765,1.7008756,0.7598788,-1.5813202,-1.4637467,-0.40005597,-2.1988914,-0.15851168,-0.44998315,-1.0525703
cell_8,1.7014742,-1.056891,-1.2455055,-2.1030633,1.4168187,-1.5978575,1.0063368,1.1750511,2.0230517,-0.18800977,0.613821,1.5961275,1.3105059,0.8611175,1.3340794,-1.3845212,-1.3520765,-0.7683328,1.1650096,1.5140008,-1.9619714,1.5264329,2.4152396,2.678822,-1.7376164,0.83063006,-1.0539701,1.8567178,1.6638454,-2.0300374,1.576941,-1.4946834,1.0264082,-1.2847246,1.0647222,1.8469509,-1.0276781,1.409813,-2.0409646,-1.3378832,-1.3769091,1.4743052,0.87833136,1.656906,-1.0863341,1.2099984,0.78516084,-1.3039194,1.5258309,0.47688413,-0.469565,0.71245694,-1.3516,2.121182,0.46539444,-1.2124679,0.9737761,1.2298881,-0.844947,2.0815246,0.73224413,0.548026,-0.84030735,-1.790432
cell_9,0.82266235,1.2197729,-0.9698531,0.5586915,-1.0903944,0.5156154,1.3207712,1.8967022,-0.080411404,-1.4108105,1.3269633,1.3057656,0.4881727,-0.22815865,1.3851247,0.5594155,0.014617324,0.7516406,-0.87345845,-0.8348227,0.09481321,1.0046587,0.6853656,-0.6930408,0.6156473,1.4210212,-0.41058677,-0.97567827,-0.6174785,-0.5769102,0.9601986,-1.4544199,-1.1851993,-1.379656,0.911371,0.99732053,1.8055092,-1.0259457,0.57272613,0.6722206,-1.8588516,-1.1360677,-1.0657638,1.5786855,-0.10659969,-2.189876,0.8677974,-0.6398281,2.2733915,-0.509421,1.0564036,1.5657905,0.6910632,1.2230383,0.48311925,0.009461433,-0.78497374,-1.6792562,0.07650292,-0.77081364,1.1487368,0.084210455,-1.2560862,1.0662203
