,label
cell_0,E4Il1rapl2
cell_1,E5Parm1
cell_2,E4Il1rapl2
cell_3,E5Parm1
cell_4,E2Rasgrf2
cell_5,E5Parm1
cell_6,E2Rasgrf2
cell_7,E4Thsd7a
cell_8,E2Rasgrf2
cell_9,E2Rasgrf2
cell_10,E3Rorb
cell_11,E2Rasgrf2
cell_12,E2Rasgrf2
cell_13,InS
cell_14,E4Il1rapl2
cell_15,E5Sulf1
cell_16,OliM
cell_17,E3Rmst
cell_18,E2Rasgrf2
cell_19,E5Galnt14
cell_20,E6Tle4
cell_21,E6Tle4
cell_22,OliM
cell_23,E3Rorb
cell_24,E3Rmst
cell_25,E3Rorb
cell_26,E2Rasgrf2
cell_27,E2Rasgrf2
cell_28,E4Thsd7a
cell_29,E6Tle4
cell_30,E2Rasgrf2
cell_31,E5Parm1
cell_32,E3Rorb
cell_33,E2Rasgrf2
cell_34,E6Tle4
cell_35,E2Rasgrf2
cell_36,InP
cell_37,E2Rasgrf2
cell_38,E4Il1rapl2
cell_39,Ast
cell_40,E3Rorb
cell_41,E3Rmst
cell_42,Clau
cell_43,InV
cell_44,E5Parm1
cell_45,E6Tle4
cell_46,E4Thsd7a
cell_47,Peri
cell_48,E2Rasgrf2
cell_49,E3Rmst
cell_50,Ast
cell_51,E2Rasgrf2
cell_52,E5Sulf1
cell_53,E2Rasgrf2
cell_54,E3Rorb
cell_55,E2Rasgrf2
cell_56,E6Tle4
cell_57,E3Rorb
cell_58,E4Thsd7a
cell_59,E2Rasgrf2
cell_60,E3Rorb
cell_61,OliM
cell_62,E6Tle4
cell_63,E3Rorb
cell_64,E3Rorb
cell_65,E2Rasgrf2
cell_66,E2Rasgrf2
cell_67,E4Il1rapl2
cell_68,E3Rorb
cell_69,E4Il1rapl2
cell_70,E2Rasgrf2
cell_71,E5Parm1
cell_72,E2Rasgrf2
cell_73,E3Rorb
cell_74,E3Rorb
cell_75,E2Rasgrf2
cell_76,E6Tle4
cell_77,E5Tshz2
cell_78,E6Tle4
cell_79,E2Rasgrf2
cell_80,E3Rorb
cell_81,E2Rasgrf2
cell_82,E3Rorb
cell_83,E5Galnt14
cell_84,E6Tle4
cell_85,E4Il1rapl2
cell_86,E6Tle4
cell_87,E6Tle4
cell_88,E3Rorb
cell_89,E6Tle4
cell_90,E5Parm1
cell_91,E3Rorb
cell_92,InV
cell_93,E6Tle4
cell_94,InP
cell_95,E2Rasgrf2
