,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
cell_0,2.6938796,1.2261808,0.9054875,0.8383037,-0.4929433,0.109247856,1.3176501,1.8578068,-1.1614368,-1.6787139,2.4173317,-0.67737573,-1.196534,1.0967246,-1.0988657,0.9056616,0.34270456,1.9803287,-0.86031187,-1.4293587,1.3118469,1.4993825,0.6402304,0.65063596,-1.7204013,-0.079330906,-2.3590276,-0.9400352,1.4692985,1.4086493,-1.3783344,0.7486647,1.3489006,-1.4964172,0.88994324,-1.152575,0.9392653,-0.85106456,-0.45029917,-1.0065489,-0.98307264,0.8411969,-2.2393847,-0.93016005,-1.1979564,0.9237473,0.37400043,-1.1086904,1.3135109,0.8019318,-1.1996975,1.2452554,2.115986,2.0580883,-1.6035649,-1.3343852,1.6283076,-1.5085846,0.86998045,1.8759443,0.9674382,-0.8297528,-1.0675367,1.9190406
cell_1,1.8697336,-1.4413822,-0.31806144,-0.07344538,-0.9042968,-0.43207029,-1.3701608,0.90757614,0.7113401,-0.77923906,0.8745514,1.2026081,0.351314,-2.354661,-0.2086932,1.0416855,0.83199894,1.9226139,-0.78126615,-1.3175275,-0.8354443,-0.5447227,1.0068514,0.8048312,-0.3711791,-2.506206,-0.44613722,0.45523816,1.8491412,-1.1509448,0.4125426,-1.4151545,-0.75791335,0.3217252,-0.76883507,0.6455687,0.2281386,-0.20750931,1.166808,2.0986228,-1.7312467,-0.562706,-1.5671324,2.1316273,1.509294,1.1089536,1.0591686,-0.6666383,0.9117131,-1.1181632,-1.5863401,-0.57958156,0.64833796,0.034539174,0.8026596,-1.7665018,1.6074961,-0.04815501,-1.1544881,1.040988,0.48498812,1.2100968,-0.07117379,0.04487887
cell_2,2.4262323,1.2515068,0.8996002,1.394056,-0.9593605,0.18996854,0.8471023,2.1676736,-1.2288458,-1.585088,2.379208,-0.5325762,-1.1145315,1.699811,-1.0101084,0.78859705,0.5089368,1.9684347,-0.6439518,-1.1057477,1.4009342,1.5219213,0.57222366,0.85807425,-1.7458202,0.30313614,-1.7372719,-0.8432661,1.2016292,1.3237993,-1.3484807,0.97397816,1.3787743,-1.5451523,1.6391127,-0.8325798,0.5755975,-0.11605346,-0.8604422,-1.5982513,-1.1596292,0.9339757,-1.7695421,-1.2642695,-1.3539654,0.11344153,0.2295088,-1.7266914,0.44682518,0.7762052,-1.2201934,1.7233621,1.4781103,1.8703226,-1.6612307,-1.1940243,1.4434927,-2.1550417,0.7053313,1.9606498,1.4654511,-0.8400518,-0.42767817,1.4278905
cell_3,2.3903253,-0.0333222,1.3105654,-0.9235395,1.0493734,0.103375345,-0.9512032,-0.9695078,1.0052054,-2.5994155,1.8114394,1.0428237,0.42079127,-0.5438459,-0.2275398,0.25507557,1.1650124,2.3946352,-1.1215975,-1.6255394,-0.777634,0.456606,0.6860814,1.203147,0.5636769,-1.6193582,-2.1804996,-0.43474734,1.6905136,-0.0858846,-1.1601226,-1.2053987,-0.21608834,1.1088929,-0.7956141,0.8390757,-1.4419005,-0.8470241,1.7251618,1.1479075,-2.5311081,0.81409925,-2.4904997,0.7995772,1.4937608,0.6318687,1.7675005,-1.3046579,0.6029559,-1.3313566,-1.0834376,-0.54723966,1.5480427,-1.1290735,0.7172685,-1.4012921,1.3757573,1.180292,-0.9709904,1.6428128,0.9458875,0.24483219,-1.2999623,1.317056
cell_4,-0.0055416822,0.80133903,-1.1111509,-0.7242996,-2.4185617,1.5795536,0.99095035,-0.23633297,-0.06704554,-1.6478801,0.22007822,0.35201555,-1.1641495,1.8642384,0.683306,0.7435997,0.24346301,-0.43627566,0.23632258,0.08289653,-1.0030998,1.8340237,1.4827542,1.3114938,0.6755487,0.26280037,0.8160258,-0.88840246,0.64824307,-0.33346155,-1.2307713,-1.1418371,-0.63991165,1.4652207,1.0666142,1.9274197,1.0038904,0.73003566,1.2156647,0.0155593045,-1.5152327,-0.75413495,-0.13408083,1.5602314,-0.60954463,-0.9846624,0.94154596,-0.77799714,1.8960872,-1.376589,0.73579824,0.86717254,0.50214714,-0.7472049,-1.0608283,-0.9721743,-0.46492755,-2.6400752,0.52244896,-0.7444223,-0.6610553,-1.3733699,1.6803616,1.5103774
cell_5,2.1625826,-1.1411821,1.0019033,-1.4471573,0.5158592,-0.16282287,-1.8140447,-0.10124439,1.4987252,-1.6980301,2.3723693,1.2639294,0.8926761,-1.3990233,-0.256506,-0.14975193,1.4657947,2.0878053,-0.57330686,-1.3297292,-0.6501339,-0.02175305,0.835026,1.0368689,0.63242483,-3.1680005,-1.6698531,-0.03409827,1.6360614,-0.6210231,-1.3566202,-1.7794596,-1.2490083,1.3749849,-0.45457143,0.9643667,-0.41655326,-0.9422924,2.0406923,1.7537065,-2.4808722,0.35854617,-2.8192806,1.2947748,1.9425436,0.5864712,1.7377278,-1.3828666,1.1738361,-2.0200953,-1.1479044,-1.3462644,0.930572,-1.1867355,1.2406052,-1.5023178,1.6530123,0.78005195,-1.4719167,1.4916397,1.394563,0.921865,-0.88651735,1.9244586
cell_6,0.3734237,0.14084119,-1.1344649,-0.20444795,-0.8986853,0.7630028,0.9401725,-0.82402,1.5259144,-1.5832275,1.4947665,0.9433149,-1.5133593,1.439809,0.953689,0.8212447,-0.15706857,0.05026085,1.7787228,0.30764627,-0.6555494,1.4974535,1.5972409,1.6706791,0.47226918,0.98895514,0.25490627,-0.8934206,1.0601585,-1.0103765,-0.30481398,-1.7547596,-0.52958304,0.224872,1.9613783,1.3125955,1.543304,0.123103276,2.2320216,-0.6895526,-1.4951448,-1.0363307,0.28148317,0.87292254,-1.3087454,-0.6758161,0.24478972,-2.1765976,0.6911427,-1.4944654,1.2864687,1.4822857,1.2473916,0.062240362,-1.5359101,-1.0448762,-0.9571535,-1.0023211,1.5726329,-0.467595,-0.31609675,-1.2300259,1.6408696,1.8175745
cell_7,0.75634134,1.3558404,-1.1654221,1.9337044,-1.3928545,1.7615592,-1.4419458,0.48159528,-1.3571006,-1.903615,-0.32651657,-0.83898586,1.2977617,1.0631372,1.0325618,1.0567231,0.74968535,-0.6909151,-0.12772506,0.6510546,-0.87180865,1.8055701,0.653628,2.003071,-1.7822202,-2.0022027,0.34148,0.713653,-1.698569,-0.79376334,1.0611777,1.0514214,1.4982481,-0.92309153,-1.6053487,2.477894,-1.4808377,-2.882896,1.7498459,1.8810166,0.5209562,1.5894597,-2.116217,0.2711984,0.8387612,0.37692907,1.3222575,0.7413053,-1.3749213,-2.0231905,0.60188645,1.3086969,0.9117376,2.1175299,-1.1875669,0.08096725,-1.4663647,-1.6517735,-0.5269366,1.7683059,1.1539112,-1.1685529,1.6267493,1.1644533
cell_8,1.1568356,1.0520747,-0.31592014,-0.89445513,-0.82244676,0.5840126,0.88905275,0.09843913,0.7250587,-1.9708396,1.0755585,-0.09188332,-0.9027887,1.252692,0.08018085,1.1327574,0.76590645,0.9476142,0.10276435,0.30388585,-0.8256083,1.9603953,1.8863195,1.716234,-0.15378425,0.41956958,-0.30426276,-0.7697658,1.5179464,0.21401146,-1.2420871,-0.64947224,0.36793688,-0.016116679,1.3526711,-0.032751262,0.87591267,0.18594112,0.19970894,-1.2090555,-1.8500177,-0.16331492,-0.76224566,1.0059859,-0.518303,0.08942649,0.84623,-1.9634368,0.9384465,-1.5961065,-0.41767013,1.3822448,1.6802648,0.69424266,-1.8518516,-1.1782603,-0.28163576,-1.5762701,1.2293785,1.0620626,0.37175667,-1.0764304,0.28428778,1.0493243
cell_9,0.1570026,0.18522412,-0.26175803,0.011227757,-0.13117544,0.2040296,0.51190776,-1.0097641,1.5820136,-1.1748793,1.1013024,1.4914652,-2.1947703,1.3523481,1.661482,0.6262433,-0.35396352,0.14140244,2.2046475,1.3885143,-0.67538136,1.6228892,1.8760158,0.35200483,-0.3078801,1.1670847,0.5450898,-0.820666,1.2308666,-1.039362,-0.17660445,-1.6375451,-1.0182962,0.3285345,1.4326869,0.89144015,1.5868646,-0.2702474,1.739471,-0.91985756,-1.7839394,-0.6952669,0.65313697,1.1062819,-1.843524,-1.4490831,0.28561264,-1.6030067,0.87051266,-1.4132651,1.0605227,0.87644374,1.4224392,0.024035815,-0.68605727,-0.9956672,-0.97310245,-0.80229545,2.2897978,-0.17216326,0.103624225,-1.184572,1.1415476,1.6388038
