,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
cell_0,0.92515886,2.3180835,0.7435341,-0.9225246,0.5894965,-0.06949183,-1.1443602,0.5067535,0.7486852,-1.8487661,0.4107429,1.8006936,-1.69249,-0.3532872,0.08044286,-1.8637222,0.11134457,-1.5158414,0.8060277,0.4943831,-1.054506,1.6450287,0.73636997,-0.018358663,-0.5468674,0.7756172,-0.4622982,0.33703482,-0.80820274,1.8454403,-0.47776204,-1.5213877,-1.4609525,1.055836,-2.7076938,0.62575054,-0.1927555,0.9597308,-0.4846173,0.11847996,2.1678894,-1.5297251,0.3898647,0.91436905,0.055747267,-1.3996232,-0.6371808,-0.7782347,1.1785121,-2.490752,-0.7340355,1.440624,-0.5029823,-1.2547694,-1.1369151,-0.47441775,0.10389842,-0.5130925,2.0052817,1.4755976,-0.08697668,-0.32309997,-0.7655975,1.2632098
cell_1,1.1070461,0.80528,-0.8785819,1.2714038,-0.64286876,-0.48479247,0.6335012,0.7357347,1.3385514,-1.7961901,-0.08535252,-0.14873558,-1.6237736,-0.7634836,1.6162207,-1.1031743,-0.77818924,-0.21043769,-0.6355084,-0.02539958,-0.4710226,-0.6739743,-0.34590206,1.1751275,-2.187426,-1.3886148,0.56962836,-0.7418958,0.52452093,-0.9135811,1.1787986,-1.4666002,-1.9763039,-0.9522003,0.45489106,1.5700256,-0.8444549,-0.61626476,1.1605985,-0.23374712,1.0713209,0.9638972,1.0171429,1.2940437,-0.17422003,1.0416814,1.4450201,-1.2925394,-1.0258622,-0.1251548,1.0186945,1.1281663,0.43250614,-1.531957,-1.3455867,-1.5679684,-1.2180861,-1.6782317,1.55241,1.2459552,-0.60039705,-1.4207995,-1.1185597,1.1869885
cell_2,-2.0727372,-1.3951333,1.328095,-0.8604635,-0.18413731,0.8735812,-2.7102883,-0.2125412,0.8566058,-0.6061847,0.05731537,-1.0022917,-2.2888246,0.34465972,0.23774719,2.5343895,1.8142086,1.0646769,0.088736415,-2.9857252,-0.45448735,-0.10818296,-0.38892704,2.0930302,-0.8482667,-2.1318622,0.946057,-0.22192544,1.1156831,-1.5796862,0.046240002,0.09664607,-1.4414634,-0.96607614,0.30207866,1.0021578,0.49311286,-0.3488581,-0.7981698,1.8254688,-0.08016653,-1.3940673,-0.7709469,-0.32880896,-1.7050133,-0.4483099,-0.51189137,-0.90028787,0.15985909,-0.8568795,-0.2573381,-0.8871963,-2.9268644,-2.5249522,0.16571005,-0.6296228,1.3747888,0.64970946,-1.4953456,-0.7932391,-1.6104946,0.37555385,0.49126256,-0.75281096
cell_3,-0.22839998,0.9504202,-0.9379786,0.5176016,-0.161389,-1.138438,0.0272716,-1.5626945,-0.7468319,-1.3643,1.0823914,0.41443583,0.3235016,2.3080118,-0.99981844,0.7281455,-0.942063,-0.8317253,1.907378,-1.9526762,0.80683184,1.5781192,0.71993065,1.4998547,0.6651613,1.6484581,-1.0703422,-0.95148087,0.19974652,0.9133288,-0.48961204,-1.7546617,-0.13499042,-0.42703336,-1.5709099,0.5539657,0.60867435,-0.3995521,0.87185425,0.8621358,-0.9457159,-1.1842028,-1.6178939,1.8089662,0.7603048,-1.5624676,-1.715778,-1.735156,0.90617543,0.058927387,2.8888478,1.4413873,0.5960534,0.4010535,-1.8903425,0.41467765,1.116422,-1.0083288,-0.33319908,1.5830799,-0.8956795,-1.9700117,0.7781,-0.11922519
cell_4,-0.8029102,0.98945,-0.8123128,0.69212854,-0.7503599,-0.6188124,0.769292,-1.4922998,-1.2019858,-0.4738396,1.931217,0.3089887,0.21152337,2.0198007,-0.4414901,0.70237815,-1.1167382,-1.0831671,1.5081267,-2.2726233,0.7834739,1.1189243,0.95779103,1.0434318,0.020958088,1.1857756,-1.0978862,-0.30577385,0.6086483,1.4174361,-0.72657514,-2.1277008,0.36767206,-0.7674213,-0.82832813,0.6033492,1.3450631,-1.1404169,1.2012457,1.7202921,-0.7694088,-1.3942776,-1.8169141,1.3871007,-0.26246938,-1.3041365,-1.224203,-1.1691663,1.5916132,0.17200822,1.2989569,0.6927192,0.19425598,-0.054550763,-0.9302863,0.038401753,1.1411909,-1.7236712,-0.43606347,1.3826004,-0.62700367,-1.2997193,0.9393681,-0.21508819
cell_5,0.4538293,1.3399602,0.12946221,0.818745,-0.9715585,0.4930847,0.89649224,-0.03856331,3.0115006,-3.081096,-0.58285046,0.5099441,-2.3182898,0.28643322,1.7238998,-0.16480334,-0.19275585,-0.550668,0.4330064,0.003186006,-0.4247883,0.25930917,-0.6953953,0.22924438,-1.6505914,-2.3295634,-0.007953666,0.04711018,-0.31208572,-1.436741,0.92068225,-0.16562389,-0.7828095,-0.08972165,0.36686808,0.16418669,-0.26159778,-0.9397998,1.3120929,-0.14972112,-0.013966136,-0.50321996,0.13037102,0.4341729,-0.98593575,2.3421001,0.0024583042,0.07982186,0.15468349,0.19297844,1.0742555,0.42708457,1.0422432,-2.1905832,-0.9606699,-1.9611322,-0.39043,-0.3443217,1.990226,1.7102672,-0.258418,-1.9564091,0.21183525,2.4087396
cell_6,-1.8774524,-1.2275062,0.7854364,-0.6916279,0.5566317,0.25694773,-2.030785,0.51224005,0.57922024,-0.17410739,-0.22642006,-0.73476696,-1.869291,0.40240484,0.6129072,1.8968271,1.0485477,0.9904875,-0.8836746,-2.326151,-0.99803066,0.537023,-0.420322,2.7554011,0.36796975,-1.6821804,0.8269352,0.12062254,1.1800678,-0.92739636,0.50280344,0.31864285,-1.0795176,-1.2174375,-0.29459125,1.4909322,0.2687319,-0.7956257,-0.5640101,1.8284351,-0.1679438,-1.1629702,-0.17108682,0.52024925,-1.1131004,-0.1424416,0.1935503,0.105454795,-0.38413987,-1.251577,-0.85518754,-0.60009986,-1.5713879,-2.1089292,-0.7498206,-0.27366427,1.3328332,0.5116956,-0.9951942,-0.121218294,-1.7150924,-0.7961576,0.6275313,-0.8958249
cell_7,1.9566401,0.7906574,-1.2083927,0.28685564,-1.1712568,-1.0232872,0.32992563,0.27330786,0.847865,-1.5184276,-0.17538618,-0.98270583,-0.8556287,-0.09651829,1.2128675,-1.0084995,-0.5385103,-0.2654242,0.09031193,-0.19379406,0.6428167,-0.3162972,-0.09510906,1.7296402,-1.0875134,-0.3599682,0.7201801,-0.9319185,0.39195088,-1.9142413,0.83514285,-0.6970204,-1.7637504,-0.9348267,-0.47544748,1.2665443,-0.31200048,-0.55683744,1.2309849,-1.2690427,0.22349077,0.63339275,0.6615199,1.9360789,1.0965384,0.020094126,0.36705327,-2.3983095,-0.609137,-0.79343367,1.7238668,2.0240622,0.47133523,-1.0455577,-1.6432725,-0.34572348,-1.6851277,-0.86183923,0.64278626,1.3077046,-0.4373065,-0.443899,-0.36366346,1.6051629
cell_8,-1.0783235,1.5423067,1.2359793,-0.7187003,0.58744586,1.3333226,-1.267946,0.7802461,0.091273546,-0.7508503,0.55158806,1.462761,-1.8505653,-1.1132513,1.2007039,-1.4204384,-1.7920572,-1.8018316,-1.1613363,1.3841515,-2.2142296,1.5562037,0.9839723,1.254492,-1.9791739,0.60873085,-0.8813257,2.492938,-1.4634534,0.52880305,-0.8701713,-1.2760973,-1.4166447,1.1204586,-1.4865761,0.63317436,-1.7344428,0.45082277,-1.2059977,1.7400092,0.72200745,-1.8357636,-0.18484807,-0.983075,0.7095534,-1.1572995,0.86498564,-1.2296987,0.057462096,-2.1336272,-0.38180053,1.0573766,-1.0321474,-1.3975583,0.5764512,-1.1218592,1.5047116,-0.6095327,1.9088064,2.1880631,0.75055194,-0.8455224,-1.1830834,-1.1155751
cell_9,-1.5795169,1.384622,1.1247181,-0.95420605,-0.68700165,1.8689413,1.5705519,-1.4369775,1.9071133,-1.6349154,2.3289485,1.7468966,0.9015352,1.8871713,0.5610588,-1.9968615,-1.7899802,1.2199781,0.9508775,-1.2174504,0.5878664,-1.0873473,-0.58848596,-2.2943087,0.56804293,-1.0879426,-1.437096,1.5943336,-2.1886861,-1.3170909,-0.196558,1.2126184,0.5624969,0.559667,1.3729203,-2.2138047,0.22240685,1.3443583,-1.2295606,1.7236292,-1.9158893,-1.3426495,0.53778577,1.6850039,0.9093416,0.73248744,-0.02407211,-1.7233272,-0.2509822,-1.8794141,1.6725725,1.1349481,-1.4465314,-2.2850492,-0.6513125,1.417605,0.16442806,-1.6474403,1.5188676,-0.6619344,-2.0456495,1.1414151,-1.516274,-0.8717984
