,label
cell_0,InP
cell_1,E2Rasgrf2
cell_2,E4Thsd7a
cell_3,E4Il1rapl2
cell_4,E2Rasgrf2
cell_5,E2Rasgrf2
cell_6,E4Thsd7a
cell_7,E5Parm1
cell_8,E2Rasgrf2
cell_9,E2Rasgrf2
cell_10,E2Rasgrf2
cell_11,E4Il1rapl2
cell_12,E2Rasgrf2
cell_13,E3Rorb
cell_14,E6Tle4
cell_15,E6Tle4
cell_16,E2Rasgrf2
cell_17,E3Rorb
cell_18,E5Tshz2
cell_19,E4Il1rapl2
cell_20,E2Rasgrf2
cell_21,E5Parm1
cell_22,E6Tle4
cell_23,E4Il1rapl2
cell_24,InP
cell_25,E3Rorb
cell_26,E4Thsd7a
cell_27,E5Parm1
cell_28,InN
cell_29,E3Rorb
cell_30,E2Rasgrf2
cell_31,E5Galnt14
cell_32,E2Rasgrf2
cell_33,OliM
cell_34,E3Rorb
cell_35,E5Tshz2
cell_36,E2Rasgrf2
cell_37,E2Rasgrf2
cell_38,Ast
cell_39,E5Parm1
cell_40,E6Tle4
cell_41,E4Il1rapl2
cell_42,E3Rorb
cell_43,E2Rasgrf2
cell_44,E6Tle4
cell_45,E2Rasgrf2
cell_46,E4Il1rapl2
cell_47,E5Parm1
cell_48,E3Rmst
cell_49,E3Rorb
cell_50,E2Rasgrf2
cell_51,E2Rasgrf2
cell_52,Clau
cell_53,Peri
cell_54,E2Rasgrf2
cell_55,E3Rorb
cell_56,E5Galnt14
cell_57,InN
cell_58,E4Il1rapl2
cell_59,E6Tle4
cell_60,E3Rorb
cell_61,E3Rorb
cell_62,E6Tle4
cell_63,E3Rorb
cell_64,E5Parm1
cell_65,E5Galnt14
cell_66,E6Tle4
cell_67,E3Rorb
cell_68,E3Rorb
cell_69,InP
cell_70,E4Il1rapl2
cell_71,E3Rorb
cell_72,E3Rorb
cell_73,E4Il1rapl2
cell_74,E3Rorb
cell_75,E5Tshz2
cell_76,E2Rasgrf2
cell_77,InP
cell_78,E2Rasgrf2
cell_79,E3Rorb
cell_80,E2Rasgrf2
cell_81,E6Tle4
cell_82,OliM
cell_83,E5Parm1
cell_84,Clau
cell_85,E2Rasgrf2
cell_86,E3Rorb
cell_87,E6Tle4
cell_88,E2Rasgrf2
cell_89,E3Rorb
cell_90,Ast
cell_91,E4Il1rapl2
cell_92,E2Rasgrf2
cell_93,E3Rorb
cell_94,E2Rasgrf2
cell_95,OliM
cell_96,E3Rorb
cell_97,E3Rorb
cell_98,E2Rasgrf2
cell_99,E3Rorb
cell_100,Clau
cell_101,InS
cell_102,Ast
cell_103,E6Tle4
cell_104,Ast
cell_105,E4Il1rapl2
cell_106,E5Tshz2
cell_107,E4Il1rapl2
cell_108,E2Rasgrf2
cell_109,E2Rasgrf2
cell_110,Ast
cell_111,Ast
cell_112,E5Parm1
cell_113,E3Rorb
cell_114,Ast
cell_115,E5Sulf1
cell_116,OliI
cell_117,Clau
cell_118,E3Rorb
cell_119,E3Rorb
cell_120,Ast
cell_121,E4Il1rapl2
cell_122,E3Rorb
cell_123,E3Rorb
cell_124,E6Tle4
cell_125,OPC
cell_126,E2Rasgrf2
cell_127,E2Rasgrf2
cell_128,E3Rorb
cell_129,Ast
cell_130,Ast
cell_131,E6Tle4
cell_132,InP
cell_133,Clau
cell_134,OliM
cell_135,OPC
cell_136,OPC
cell_137,E4Il1rapl2
cell_138,E4Il1rapl2
cell_139,E5Sulf1
cell_140,E2Rasgrf2
cell_141,E5Galnt14
cell_142,E5Parm1
cell_143,E6Tle4
