,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
cell_0,2.675536,1.033303,1.6637183,0.95365125,-1.7249484,-1.1656499,-0.12917104,-1.5711335,-0.8629351,1.7956944,-1.0213379,1.5835087,-1.5078135,0.78900015,1.0778574,1.1028554,-1.4732846,-1.3532019,-0.39303464,0.743111,1.3966253,2.1111255,2.250928,0.28309128,0.51015896,-0.50667477,-2.8611457,-0.9692101,1.4895825,0.9407638,-1.5825307,-1.2731895,-0.105568096,0.5471319,-2.0358553,-1.7100267,1.6182684,1.1271003,1.5046961,-0.794617,1.7038994,-1.5376532,-0.07484642,0.35717517,-1.2556905,1.1765659,-1.6194413,-0.9848874,2.0104702,-1.1126606,1.1330923,-1.9675828,1.3645043,1.7341253,-1.5860639,0.8161394,1.8598976,-1.7984064,-1.5408508,-1.1555074,-1.9560986,1.7009751,1.3651783,1.4432741
cell_1,0.01915747,0.21901867,-1.6456717,1.2958546,0.62628126,0.55788755,-0.35438237,0.46060047,-0.25493702,1.3761079,-0.73110056,-0.67419976,0.6341655,-0.1589444,0.93645895,-1.0218816,1.5015457,1.0789788,-0.2820977,1.6924127,1.30449,0.31152463,-1.2861416,-0.40480387,0.68286914,0.075770706,-0.22450721,0.77812904,1.5843672,0.29954556,0.04348637,0.6723281,-0.13782528,-0.2379682,1.105513,-0.87962925,-0.6963089,-0.4281064,-0.99023086,2.1040385,0.49410182,1.4661846,-0.5879185,0.13573486,0.5156082,0.99792165,-0.8887587,-0.4691322,0.3882646,1.3264015,-1.5641512,-1.1629616,-0.49397856,-1.5595573,1.7858152,0.86871797,1.2706665,-2.6955228,0.6265052,-1.199029,0.28996167,-0.13883185,0.9830745,-2.133357
cell_2,1.5666143,1.1399984,-0.9842734,1.5688208,-1.0159457,0.6479684,1.0134344,-0.6671453,1.0075166,-0.768531,-0.75163466,-0.8827157,-0.79566747,0.894561,1.2671299,0.7661833,-0.5970161,-2.0075042,1.4246079,1.6779498,1.0925186,-1.4816271,-1.2172148,-1.4697828,-0.56188816,0.442684,-2.008228,1.212746,1.4704589,-1.2678317,-0.54295087,1.0127919,-0.9914965,1.6557939,-0.06264223,-0.8387221,-0.012555331,-0.7254708,1.8420855,1.508026,0.57405704,1.4307444,-1.1048328,-0.42655253,1.4551675,-1.9043186,1.8658199,-1.0803933,-2.340776,-1.1299398,-1.4166765,1.4019458,-1.147561,1.224875,0.8326181,-0.80872697,-0.87399876,0.455916,-0.19770277,-1.0174171,-1.537844,-0.4782016,-1.150146,1.2148687
cell_3,2.2632723,0.6114646,-1.7524656,1.2223152,1.4378549,-0.7860563,1.7953281,1.1258981,-1.286111,-1.0793062,-0.8660623,0.49295998,0.38142794,1.6187503,1.1168292,-0.07096511,-1.5044632,-1.890774,-0.5259628,1.4332587,-0.12289294,0.97423077,0.6325757,-0.9904243,-0.43018076,-1.4466343,-2.1839206,1.4387212,0.082394466,0.7776803,1.4915897,-0.37044352,1.5485911,1.5748019,-0.014524698,0.8177956,0.44270128,-0.94577646,1.2495217,1.3534951,1.5466726,0.68512785,-0.8241411,1.3701327,1.342662,-1.0171726,1.5879707,1.1929435,-0.40738413,1.0679247,-1.099785,-0.65128905,1.2659333,-1.0419554,-0.6525389,-1.2085501,1.9395499,1.6215987,-1.6970747,0.3838194,-0.03115905,-0.99163437,-0.99458396,-1.2695763
cell_4,0.6401315,-0.03076467,-1.3481264,1.0370657,0.5580639,0.75389516,-0.14252375,0.27014458,-1.2133527,1.6259959,-0.4899632,-1.4823326,0.21106046,0.534758,1.053989,-1.3294189,1.0234169,0.8088923,-0.39513007,1.8954095,1.4925029,0.340532,-1.5084767,-0.52573526,0.7383481,0.5528408,0.20397234,1.1963952,1.5209973,0.46633935,-0.17712235,0.7921351,0.05515995,-0.2741509,1.4240808,-1.3943424,-0.9873314,0.045805074,-0.7229979,1.6558139,-0.49378112,1.2854565,-0.9106222,-0.1033597,0.81852126,1.1127528,-1.4665748,-0.36409476,0.47971368,1.4579015,-1.6074082,-2.037209,-1.0839512,-1.3711061,1.726403,0.4344973,1.3409684,-1.4164749,0.53321236,-1.4157404,0.12642075,-0.08853466,1.1170822,-1.4658319
cell_5,-0.036778424,0.36685675,-1.4416343,0.7180062,0.82321703,0.45997927,-0.79337454,0.7499872,0.35170424,1.3598053,-0.3293181,-1.6652707,0.7645648,0.5373732,0.6550976,-1.3300488,1.8073702,0.6915651,-0.32466856,1.6166824,1.6715164,0.64749646,-1.3543077,-0.72461796,1.0966902,-0.30642015,0.27300423,1.0077108,1.2056926,0.60074115,-0.3195274,0.6865476,-0.48149762,-0.6153426,1.5393454,-1.784789,-0.5935007,-0.17622003,-1.0830239,1.0263087,-0.2491109,0.96193963,-0.89737564,-0.16109687,1.0990245,0.96890897,-1.1212891,-0.64958483,0.5061769,1.2291164,-1.4330593,-1.3446012,-0.83505356,-1.4204793,1.3573582,0.7566372,1.3354511,-1.3049922,0.40686706,-1.4445063,0.30797124,-0.2434523,1.1434337,-1.3408003
cell_6,1.5905008,0.53150403,-1.3002603,1.4676411,-0.717899,0.8657346,1.484035,-0.95167655,0.740547,-0.8872024,-0.4119343,-0.9849063,-0.9318633,1.0204002,0.9949508,0.12884706,-1.1451491,-1.7015384,1.1217148,1.8508083,1.2022344,-2.0022776,-1.0067948,-1.0278702,0.28811955,0.54657257,-2.1494017,0.677632,1.0160666,-1.4540898,-0.43832684,1.1210785,-0.6048789,1.3188229,0.10291955,-1.1236873,0.74501324,-0.59514415,2.1688614,1.3220185,0.83376205,1.762656,-1.175526,-0.6617086,1.6304486,-0.94229627,1.2542837,-0.67594457,-2.356917,-1.5473132,-1.2875402,1.4777819,-0.80932605,2.0480947,0.7403894,-0.8790327,-1.3944527,0.09695033,-0.39828825,-1.1325467,-2.0036964,-0.8271882,-1.687191,1.2449859
cell_7,1.2583985,0.38696086,-1.2514944,-0.6888492,-2.5645032,-0.5740289,-0.14945906,-1.734813,-2.1942034,2.3319323,0.42386937,1.4551799,1.4483106,0.5568848,-0.31846994,-2.1328619,-0.36471772,0.5902136,1.5815011,-1.2016803,2.180337,-1.8563597,-1.5165735,-1.1005074,-0.88108706,-1.9461126,-1.0268835,0.9165842,1.119351,0.29367334,0.94632524,2.0563583,0.6482082,1.5942913,0.26079583,0.25201496,-1.3417609,1.0628228,0.7709311,1.4796633,-0.97148675,1.4711894,-1.0796211,1.6118783,-1.2423843,-1.649602,-1.697003,0.91908383,-0.62384725,-1.1235725,1.2445296,-1.13439,1.0683244,0.6901568,0.08367887,-0.9462533,-1.213786,0.5534138,-0.34611765,-0.6576259,-1.9040093,1.5431765,1.1632671,-1.9353529
cell_8,0.40658063,0.2167066,-1.5362884,0.62721145,0.89286685,0.38034555,-0.68802863,0.6432205,-0.3650179,1.5318807,-1.0527996,-1.2699269,0.5899707,0.95631087,0.47003445,-1.3087771,1.2557974,0.7946888,-0.53444386,1.9159106,1.142982,0.6849365,-1.0445565,-0.32963505,0.9267283,0.39515787,0.045759436,1.4721844,1.658797,0.10171501,-0.28104424,0.9505237,0.004316017,-0.039616704,1.0249548,-1.3746411,-1.0242186,0.17715384,-0.96172583,1.1769097,-0.3871718,1.3926812,-1.0240653,-0.3140929,1.0655845,1.0342731,-1.2298603,-0.79514056,0.24051706,0.7670556,-1.4709879,-1.2054104,-0.31889567,-1.1919379,1.1946847,0.8626461,1.1431973,-0.26890457,0.6356757,-0.7157874,0.6621671,-0.37836707,0.95599353,-1.9691801
cell_9,-0.32266566,-0.12081897,-1.2132161,1.1669333,0.34428617,0.15424503,-0.671054,0.75088185,0.24486226,1.2079246,-0.24288681,-1.3305119,0.94829446,1.042823,0.9045434,-1.296867,1.1127348,1.1033871,-0.8911713,1.7569296,1.2753965,0.7863859,-0.8976529,-0.82964325,1.1525546,0.3398757,0.75956154,1.0330956,1.6208783,1.0136242,0.058046162,0.44750518,-0.5136845,-0.5532037,1.1709766,-1.7001344,-0.5701616,-0.469875,-1.2229288,0.49652064,-0.4574268,1.5194331,-0.49374154,0.2479228,0.5694744,0.004622489,-1.4896637,-0.45390984,0.42568502,1.3171508,-1.6473224,-0.776641,-0.40901226,-1.2783604,1.4913983,1.0428591,1.0420318,-1.9002364,1.0541751,-1.091412,0.13246322,-0.41324154,1.3452152,-1.6285326
